"player","ecr","ecrwk","fpts","fptswk","rank","rankwk"
"Robbie Gould",3,"ecr_09",4,"fpts_09",24,"rank_09"
"Stephen Hauschka",12,"ecr_09",7,"fpts_09",14,"rank_09"
"Zane Gonzalez",17,"ecr_09",5,"fpts_09",22,"rank_09"
"Adam Vinatieri",10,"ecr_10",6,"fpts_10",17,"rank_10"
"Aldrick Rosas",15,"ecr_10",1,"fpts_10",26,"rank_10"
"Austin Seibert",21,"ecr_10",8,"fpts_10",14,"rank_10"
"Brett Maher",7,"ecr_10",6,"fpts_10",20,"rank_10"
"Chase McLaughlin",22,"ecr_10",12,"fpts_10",5,"rank_10"
"Chris Boswell",17,"ecr_10",5,"fpts_10",21,"rank_10"
"Dan Bailey",11,"ecr_10",8,"fpts_10",12,"rank_10"
"Daniel Carlson",14,"ecr_10",9,"fpts_10",11,"rank_10"
"Eddy Pineiro",18,"ecr_10",2,"fpts_10",25,"rank_10"
"Greg Zuerlein",5,"ecr_10",4,"fpts_10",22,"rank_10"
"Harrison Butker",3,"ecr_10",16,"fpts_10",1,"rank_10"
"Jason Myers",16,"ecr_10",11,"fpts_10",8,"rank_10"
"Joey Slye",12,"ecr_10",6,"fpts_10",18,"rank_10"
"Justin Tucker",2,"ecr_10",7,"fpts_10",16,"rank_10"
"Mason Crosby",8,"ecr_10",7,"fpts_10",15,"rank_10"
"Matt Gay",4,"ecr_10",14,"fpts_10",3,"rank_10"
"Matt Prater",13,"ecr_10",9,"fpts_10",10,"rank_10"
"Michael Badgley",6,"ecr_10",6,"fpts_10",19,"rank_10"
"Ryan Succop",20,"ecr_10",3,"fpts_10",23,"rank_10"
"Stephen Hauschka",19,"ecr_10",2,"fpts_10",24,"rank_10"
"Wil Lutz",1,"ecr_10",10,"fpts_10",9,"rank_10"
"Zane Gonzalez",9,"ecr_10",11,"fpts_10",7,"rank_10"
"Adam Vinatieri",17,"ecr_11",7,"fpts_11",13,"rank_11"
"Austin Seibert",22,"ecr_11",3,"fpts_11",22,"rank_11"
"Brett Maher",4,"ecr_11",9,"fpts_11",8,"rank_11"
"Chase McLaughlin",20,"ecr_11",7,"fpts_11",12,"rank_11"
"Chris Boswell",16,"ecr_11",1,"fpts_11",25,"rank_11"
"Dan Bailey",8,"ecr_11",3,"fpts_11",23,"rank_11"
"Daniel Carlson",7,"ecr_11",5,"fpts_11",15,"rank_11"
"Greg Zuerlein",6,"ecr_11",5,"fpts_11",16,"rank_11"
"Harrison Butker",3,"ecr_11",7,"fpts_11",10,"rank_11"
