"player","rank_01","fpts_01","rank_02","fpts_02","rank_03","fpts_03","rank_04","fpts_04","rank_05","fpts_05","rank_08","fpts_08","rank_09","fpts_09","rank_10","fpts_10","rank_11","fpts_11","rank_12","fpts_12","rank_13","fpts_13","rank_14","fpts_14","rank_15","fpts_15","rank_16","fpts_16","rank_17","fpts_17","ecr_01","ecr_02","ecr_03","ecr_04","ecr_05","ecr_08","ecr_09","ecr_10","ecr_11","ecr_12","ecr_13","ecr_14","ecr_15","ecr_16","ecr_17"
"Mason Crosby",24,4,28,3,3,11,13,9,9,10,17,7,21,5,15,7,49,0,50,0,16,8,17,8,27,3,7,10,8,12,12,12,7,6,11,4,4,8,NA,18,6,1,10,14,6
"Matt Bryant",60,0,12,8,22,6,20,5,21,6,19,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,11,13,8,13,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matt Gay",20,5,8,9,1,16,4,15,19,7,10,10,8,12,3,14,11,7,20,5,13,8,15,9,11,9,4,11,31,2,19,NA,14,20,15,19,13,4,10,4,9,5,6,9,5
"Matt McCrane",49,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matt Prater",9,11,30,1,10,9,2,15,55,0,14,9,20,6,10,9,20,3,7,11,18,8,32,1,20,6,25,5,10,11,11,10,17,9,NA,3,2,13,14,9,17,NA,21,NA,NA
"Michael Badgley",48,0,48,0,38,0,35,0,39,0,37,0,2,16,19,6,6,10,44,0,12,9,13,10,23,5,26,5,30,3,NA,NA,NA,NA,NA,NA,NA,6,9,NA,10,13,14,10,NA
"Michael Palardy",33,0,34,0,37,0,34,0,35,0,34,0,32,0,32,0,31,0,31,0,35,0,36,0,34,0,36,0,34,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mike Nugent",52,0,NA,NA,NA,NA,NA,NA,11,9,13,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nick Folk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,8,NA,NA,7,9,11,9,NA,NA,30,4,5,12,2,12,21,6,NA,NA,NA,NA,NA,NA,NA,NA,13,6,NA,NA,12,13,4
"Parker Douglass",53,0,51,0,51,0,50,0,50,0,49,0,48,0,47,0,46,0,47,0,51,0,50,0,50,0,48,0,48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
